"Leistungs_ID","Leistungsname","Kategorie","Kosten_EUR","Dauer_Stunden","Behandlungsart","Nachsorge_erforderlich","Qualitaetsstufe","Komplexitaet","Narkose_erforderlich","Nachsorge_Tage"
"L00001","Echokardiographie","Kardiologie","27089","4","Tagesklinik","Nein","Premium","Hoch","Ja","15"
"L00002","Herzkatheteruntersuchung","Kardiologie","20740","6","Ambulant","Nein","Premium","Niedrig","Ja","4"
"L00003","Bypass-Operation","Kardiologie","24148","7","Ambulant","Ja","Standard","Mittel","Ja","14"
"L00004","Stent-Implantation","Kardiologie","21151","12","Ambulant","Nein","Premium","Niedrig","Ja","3"
"L00005","Herzschrittmacher-Implantation","Kardiologie","29066","9","Stationaer","Ja","Premium","Hoch","Nein","29"
"L00006","Defibrillator-Implantation","Kardiologie","36663","12","Tagesklinik","Nein","Premium","Hoch","Nein","23"
"L00007","Herzklappen-Operation","Kardiologie","43175","10","Tagesklinik","Ja","Standard","Niedrig","Ja","25"
"L00008","Koronarangiographie","Kardiologie","34939","12","Stationaer","Nein","Luxus","Niedrig","Ja","2"
"L00009","Belastungs-EKG","Kardiologie","33435","5","Ambulant","Ja","Premium","Hoch","Ja","16"
"L00010","Langzeit-EKG","Kardiologie","8329","11","Stationaer","Nein","Luxus","Niedrig","Nein","1"
"L00011","Hueftgelenk-Endoprothese","Orthopaedie","24878","1","Ambulant","Ja","Premium","Mittel","Ja","21"
"L00012","Kniegelenk-Endoprothese","Orthopaedie","2786","8","Ambulant","Ja","Luxus","Mittel","Nein","1"
"L00013","Wirbelsaeulen-Operation","Orthopaedie","23133","6","Ambulant","Ja","Standard","Niedrig","Ja","30"
"L00014","Arthroskopie Knie","Orthopaedie","4320","8","Tagesklinik","Ja","Standard","Niedrig","Ja","5"
"L00015","Arthroskopie Schulter","Orthopaedie","17827","4","Stationaer","Ja","Premium","Hoch","Ja","15"
"L00016","Bandscheibenoperation","Orthopaedie","19624","3","Stationaer","Nein","Luxus","Niedrig","Nein","7"
"L00017","Kreuzband-Rekonstruktion","Orthopaedie","17312","3","Stationaer","Ja","Standard","Mittel","Ja","8"
"L00018","Meniskus-Operation","Orthopaedie","17248","5","Tagesklinik","Ja","Standard","Hoch","Ja","2"
"L00019","Schulter-Endoprothese","Orthopaedie","24260","5","Tagesklinik","Nein","Premium","Niedrig","Ja","29"
"L00020","Handchirurgie","Orthopaedie","14717","4","Stationaer","Nein","Standard","Hoch","Nein","16"
"L00021","Fusschirurgie","Orthopaedie","1219","3","Tagesklinik","Nein","Standard","Niedrig","Nein","5"
"L00022","Chemotherapie","Onkologie","39802","10","Stationaer","Nein","Standard","Mittel","Nein","14"
"L00023","Strahlentherapie","Onkologie","14476","5","Stationaer","Ja","Standard","Hoch","Ja","6"
"L00024","Immuntherapie","Onkologie","35321","2","Tagesklinik","Nein","Luxus","Mittel","Nein","2"
"L00025","Tumorentfernung","Onkologie","31195","7","Ambulant","Ja","Standard","Mittel","Ja","19"
"L00026","Lymphknotenentfernung","Onkologie","35507","7","Tagesklinik","Ja","Standard","Niedrig","Nein","26"
"L00027","Knochenmarktransplantation","Onkologie","37249","3","Tagesklinik","Nein","Luxus","Mittel","Nein","4"
"L00028","Targeted Therapy","Onkologie","43556","8","Ambulant","Ja","Premium","Hoch","Ja","22"
"L00029","Hormontherapie","Onkologie","2527","5","Tagesklinik","Nein","Premium","Hoch","Ja","10"
"L00030","Palliativbehandlung","Onkologie","44148","7","Ambulant","Ja","Premium","Niedrig","Ja","27"
"L00031","Nachsorgeuntersuchung","Onkologie","6575","11","Ambulant","Ja","Premium","Mittel","Ja","28"
"L00032","MRT Schaedel","Neurologie","23660","3","Tagesklinik","Nein","Premium","Mittel","Nein","9"
"L00033","CT Schaedel","Neurologie","8239","6","Ambulant","Nein","Luxus","Hoch","Ja","13"
"L00034","Lumbalpunktion","Neurologie","23890","8","Stationaer","Ja","Luxus","Hoch","Nein","29"
"L00035","EEG-Untersuchung","Neurologie","3463","8","Tagesklinik","Nein","Luxus","Hoch","Nein","6"
"L00036","Neurochirurgische Operation","Neurologie","22504","6","Tagesklinik","Nein","Luxus","Niedrig","Ja","4"
"L00037","Epilepsie-Behandlung","Neurologie","10280","8","Ambulant","Ja","Premium","Niedrig","Ja","29"
"L00038","Schlaganfall-Therapie","Neurologie","6625","4","Tagesklinik","Ja","Luxus","Hoch","Ja","16"
"L00039","Multiple Sklerose Behandlung","Neurologie","1867","2","Ambulant","Ja","Standard","Mittel","Nein","7"
"L00040","Parkinson-Therapie","Neurologie","15088","2","Tagesklinik","Nein","Premium","Hoch","Ja","13"
"L00041","Migraine-Behandlung","Neurologie","1999","1","Ambulant","Ja","Premium","Niedrig","Ja","16"
"L00042","Katarakt-Operation","Augenheilkunde","4570","7","Tagesklinik","Ja","Standard","Niedrig","Ja","27"
"L00043","Glaukom-Operation","Augenheilkunde","6310","4","Ambulant","Nein","Luxus","Hoch","Ja","24"
"L00044","Netzhaut-Operation","Augenheilkunde","2141","3","Tagesklinik","Nein","Premium","Niedrig","Nein","22"
"L00045","Laser-Behandlung","Augenheilkunde","23549","6","Tagesklinik","Nein","Standard","Hoch","Nein","13"
